E,9,1,0.11533383402651991,2
S,3,1,0.09480520300163461,3
I,6,1,0.0885545324304026,5
A,7,1,0.07633656680151722,7
R,5,1,0.07098146383333229,11
N,4,1,0.06738530865210449,13
T,5,1,0.06566549066880407,17
O,6,1,0.0653196336945477,19
L,3,1,0.05340397735520395,23
C,2,3,0.04049934678472928,29
D,3,2,0.03463176961381408,31
U,3,1,0.03288670659589642,37
P,2,3,0.029410465329100584,41
M,2,3,0.02830915069392289,43
G,2,2,0.02747732680328438,47
H,2,4,0.023202711316717892,53
B,2,3,0.019012035570253775,59
Y,2,4,0.016327226138708843,61
F,2,4,0.0126414510845898,67
V,2,4,0.009737640977740191,71
K,1,5,0.009120399881348338,73
W,2,4,0.007837320996926416,79
Z,1,10,0.0047971877031436376,83
X,1,8,0.0030047902453186237,89
J,1,8,0.0016876305641634112,97
Q,1,10,0.0016308292362745903,101
